#"Step","Potential Energy (kJ/mole)"
9660,-16.1545577737
9670,-16.7167064063
9680,-17.9597226193
9690,-16.4636061835
9700,-17.380797787
9710,-16.6793113342
9720,-17.6143650991
9730,-19.2571308913
9740,-17.5698413335
9750,-18.0422709546
9760,-18.1476572954
9770,-16.8066677058
9780,-15.8160610715
9790,-13.6614553753
9800,-15.3455186876
9810,-15.8447354214
9820,-12.9337213793
9830,-15.0343895666
9840,-14.8449225987
9850,-15.5255618162
9860,-15.7256206252
9870,-13.9434986602
9880,-16.870326501
9890,-16.2819058196
9900,-13.2534920419
9910,-14.7105228505
9920,-15.2290835438
9930,-15.6098794128
9940,-14.5761462043
9950,-13.0186744825
9960,-15.3896716898
9970,-14.6642307941
9980,-13.3215500513
9990,-13.9799642616
10000,-14.1457447387
10010,-15.0661635204
10020,-13.9909595045
10030,-13.6351735156
10040,-15.4555483468
10050,-15.155012478
10060,-14.1988007718
10070,-14.0552221381
10080,-14.2759584308
10090,-15.2169095293
10100,-13.7565348939
10110,-13.9474879025
10120,-14.7550250369
10130,-13.6160054027
10140,-12.8462399026
10150,-11.9915753287
10160,-13.7878910859
10170,-13.7936799011
10180,-12.3130489067
10190,-12.9763427673
10200,-13.8758664184
10210,-16.5536470409
10220,-15.3223587741
10230,-14.9625742996
10240,-16.249116848
10250,-16.6253108485
10260,-17.3047761288
10270,-15.8587749305
10280,-15.3231484014
10290,-15.1199252136
10300,-13.603981787
10310,-14.8630480554
10320,-14.5321652645
10330,-12.7044167722
10340,-11.2758209594
10350,-11.5094714845
10360,-13.2640600994
10370,-13.2124930688
10380,-11.5570853569
10390,-11.6393670352
10400,-11.1930491839
10410,-13.3138595875
10420,-14.1057677129
10430,-13.2326320367
10440,-14.4755614791
10450,-14.3020159287
10460,-16.2236358217
10470,-17.3142827486
10480,-16.7788870556
10490,-17.9754235331
10500,-17.4305885252
10510,-17.9880950689
10520,-18.7025252568
10530,-17.3872334144
10540,-17.254202967
10550,-16.8714514035
10560,-16.6404408099
10570,-16.6507752859
10580,-15.24088146
10590,-14.9922347457
10600,-13.0195859745
10610,-13.3570424076
10620,-13.6346630716
10630,-12.1348627104
10640,-13.7265195375
10650,-13.987182983
10660,-16.6549036313
10670,-17.9708298938
10680,-17.305790866
10690,-18.420801388
10700,-16.7423853257
10710,-16.562942735
10720,-17.9639941319
10730,-16.2454190518
10740,-18.2941457602
10750,-18.1487399002
10760,-16.6399236989
10770,-18.6495807203
10780,-15.8055655797
10790,-15.9091503376
10800,-17.6486944988
10810,-14.9321228185
10820,-16.6815323474
10830,-14.8049541356
10840,-15.2926556215
10850,-16.8177101727
10860,-14.3383255406
10870,-16.9250878665
10880,-15.6361079528
10890,-15.612325499
10900,-17.3559404009
10910,-15.3728640263
10920,-17.079749122
10930,-16.3526307802
10940,-15.3458436667
10950,-16.3320841528
10960,-15.0936005273
10970,-16.0573093045
10980,-15.7943411806
10990,-14.6192553318
11000,-16.9474874518
11010,-17.8485414836
11020,-17.4427958631
11030,-18.0164056235
11040,-17.9145702344
11050,-19.0593501748
11060,-19.3022362001
11070,-17.8766369556
11080,-17.9073435497
11090,-17.585978089
11100,-16.1533928749
11110,-15.6209038632
11120,-17.3979243885
11130,-19.2697943262
11140,-18.2089440315
11150,-17.0051949077
11160,-18.8353366073
11170,-19.4804091804
11180,-18.6543809335
11190,-18.5682291728
